title,firstname,lastname,party,state,district,bioguide_id,birthdate,twitter_id
Rep,Robert,Aderholt,R,AL,4,A000055,1965-07-22,Robert_Aderholt
Sen,Lamar,Alexander,R,TN,Senior Seat,A000360,1940-07-03,senalexander
Rep,Rodney,Alexander,R,LA,5,A000361,1946-12-05,USRepAlexander
Rep,Justin,Amash,R,MI,3,A000367,1980-04-18,repjustinamash
Rep,Mark,Amodei,R,NV,2,A000369,1958-06-12,markamodeinv2
Rep,Spencer,Bachus,R,AL,6,B000013,1947-12-28,BachusAL06
Rep,Joe,Barton,R,TX,6,B000213,1949-09-15,RepJoeBarton
Rep,Xavier,Becerra,D,CA,34,B000287,1958-01-26,repbecerra
Rep,Sanford,Bishop,D,GA,2,B000490,1947-02-04,SanfordBishop
Rep,Earl,Blumenauer,D,OR,3,B000574,1948-08-16,blumenauermedia
Sen,Roy,Blunt,R,MO,Junior Seat,B000575,1950-01-10,RoyBlunt
Rep,John,Boehner,R,OH,8,B000589,1949-11-17,SpeakerBoehner
Sen,Barbara,Boxer,D,CA,Junior Seat,B000711,1940-11-11,senatorboxer
Rep,Kevin,Brady,R,TX,8,B000755,1955-04-11,RepKevinBrady
Rep,Corrine,Brown,D,FL,5,B000911,1946-11-11,RepCorrineBrown
Sen,Sherrod,Brown,D,OH,Senior Seat,B000944,1952-11-09,SenSherrodBrown
Sen,Richard,Burr,R,NC,Senior Seat,B001135,1955-11-30,senatorburr
Rep,Robert,Brady,D,PA,1,B001227,1945-04-07,RepBrady
Sen,John,Boozman,R,AR,Junior Seat,B001236,1950-12-10,JohnBoozman
Rep,Timothy,Bishop,D,NY,1,B001242,1950-06-01,timbishopny
Rep,Marsha,Blackburn,R,TN,7,B001243,1952-06-06,MarshaBlackburn
Rep,Jo,Bonner,R,AL,1,B001244,1959-11-19,repjobonner
Rep,Madeleine,Bordallo,D,GU,0,B001245,1933-05-31,CandiceMiller
Rep,Michael,Burgess,R,TX,26,B001248,1950-12-23,michaelcburgess
Rep,Rob,Bishop,R,UT,1,B001250,1951-07-13,RepRobBishop
Rep,George,Butterfield,D,NC,1,B001251,1947-04-27,gkbutterfield
Rep,John,Barrow,D,GA,12,B001252,1955-10-31,repjohnbarrow
Rep,Charles,Boustany,R,LA,3,B001255,1956-02-21,RepBoustany
Rep,Michele,Bachmann,R,MN,6,B001256,1956-04-06,MicheleBachmann
Rep,Gus,Bilirakis,R,FL,12,B001257,1963-02-08,RepGusBilirakis
Rep,Bruce,Braley,D,IA,1,B001259,1957-10-30,brucebraley
Rep,Vern,Buchanan,R,FL,16,B001260,1951-05-08,VernBuchanan
Sen,John,Barrasso,R,WY,Junior Seat,B001261,1952-07-21,SenJohnBarrasso
Rep,Paul,Broun,R,GA,10,B001262,1946-05-14,RepPaulBrounMD
Sen,Mark,Begich,D,AK,Junior Seat,B001265,1962-03-30,SenatorBegich
Sen,Michael,Bennet,D,CO,Junior Seat,B001267,1964-11-28,SenBennetCo
Rep,Lou,Barletta,R,PA,11,B001269,1956-01-28,RepLouBarletta
Rep,Karen,Bass,D,CA,37,B001270,1953-10-03,RepKarenBass
Rep,Dan,Benishek,R,MI,1,B001271,1952-04-20,CongressmanDan
Rep,Diane,Black,R,TN,6,B001273,1951-01-16,RepDianeBlack
Rep,Mo,Brooks,R,AL,5,B001274,1954-04-29,RepMoBrooks
Rep,Larry,Bucshon,R,IN,8,B001275,1962-05-31,RepLarryBucshon
Sen,Richard,Blumenthal,D,CT,Senior Seat,B001277,1946-02-13,SenBlumenthal
Rep,Suzanne,Bonamici,D,OR,1,B001278,1954-10-14,RepBonamici
Rep,Ron,Barber,D,AZ,2,B001279,1945-08-25,RepRonBarber
Rep,Kerry,Bentivolio,R,MI,11,B001280,1951-10-06,repkerryb
Rep,Garland,Barr,R,KY,6,B001282,1973-07-24,RepAndyBarr
Rep,Jim,Bridenstine,R,OK,1,B001283,1975-06-15,RepJBridenstine
Rep,Susan,Brooks,R,IN,5,B001284,1960-08-25,SusanWBrooks
Rep,Cheri,Bustos,D,IL,17,B001286,1961-10-17,RepCheri
Rep,Ami,Bera,D,CA,7,B001287,1965-03-02,repbera
Rep,Ken,Calvert,R,CA,42,C000059,1953-06-08,KenCalvert
Rep,Dave,Camp,R,MI,4,C000071,1953-07-09,RepDaveCamp
Sen,Maria,Cantwell,D,WA,Junior Seat,C000127,1958-10-13,CantwellPress
Sen,Benjamin,Cardin,D,MD,Junior Seat,C000141,1943-10-05,SenatorCardin
Sen,Thomas,Carper,D,DE,Senior Seat,C000174,1947-01-23,SenatorCarper
Rep,Steve,Chabot,R,OH,1,C000266,1953-01-22,RepSteveChabot
Sen,Saxby,Chambliss,R,GA,Senior Seat,C000286,1943-11-10,SaxbyChambliss
Rep,Donna,Christensen,D,VI,0,C000380,1945-09-19,DelegateDonna
Rep,James,Clyburn,D,SC,6,C000537,1940-07-21,clyburn
Sen,Daniel,Coats,R,IN,Senior Seat,C000542,1943-05-16,sendancoats
Rep,Howard,Coble,R,NC,6,C000556,1931-03-18,HowardCoble
Sen,Thomas,Coburn,R,OK,Junior Seat,C000560,1948-03-14,TomCoburn
Sen,Thad,Cochran,R,MS,Senior Seat,C000567,1937-12-07,SenThadCochran
Rep,John,Conyers,D,MI,13,C000714,1929-05-16,repjohnconyers
Rep,Jim,Cooper,D,TN,5,C000754,1954-06-19,repjimcooper
